rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0077.jpg,30.8,0.7926,0.8047,0.7143,0.88,7,5,False,True
2,frame_0291.jpg,116.4,0.7792,0.7082,0.8571,0.84,6,6,False,True
3,frame_0009.jpg,3.6,0.7223,0.8732,0.2857,1.0,2,2,False,True
4,frame_0073.jpg,29.2,0.7218,0.7864,0.4286,1.0,6,3,False,False
5,frame_0284.jpg,113.6,0.6981,0.7437,0.7143,0.56,6,5,False,True
6,frame_0006.jpg,2.4,0.6978,0.9099,0.1429,1.0,2,1,False,False
7,frame_0023.jpg,9.2,0.6948,0.9038,0.1429,1.0,1,1,False,True
8,frame_0304.jpg,121.6,0.6922,0.8279,0.7143,0.32,6,5,False,True
9,frame_0296.jpg,118.4,0.6828,0.7667,0.5714,0.64,5,4,False,True
10,frame_0004.jpg,1.6,0.6814,0.62,0.5714,1.0,4,4,False,True
11,frame_0000.jpg,0.0,0.654,0.4795,0.7143,1.0,6,5,False,False
12,frame_0384.jpg,153.6,0.6535,0.8144,0.7143,0.16,8,5,False,True
13,frame_0001.jpg,0.4,0.6517,0.6462,0.4286,1.0,6,3,False,False
14,frame_0003.jpg,1.2,0.6444,0.8031,0.1429,1.0,4,1,False,False
15,frame_0169.jpg,67.6,0.6394,0.728,0.5714,0.52,7,4,False,True
16,frame_0033.jpg,13.2,0.6392,0.5355,0.5714,1.0,7,4,False,True
17,frame_0387.jpg,154.8,0.6377,0.6812,0.8571,0.2,8,6,False,False
18,frame_0074.jpg,29.6,0.6333,0.6094,0.4286,1.0,6,3,False,False
19,frame_0030.jpg,12.0,0.6318,0.5208,0.5714,1.0,7,4,False,False
20,frame_0076.jpg,30.4,0.6265,0.5421,0.5714,0.92,6,4,False,False
21,frame_0230.jpg,92.0,0.6215,0.7664,0.7143,0.12,7,5,False,True
22,frame_0292.jpg,116.8,0.6215,0.5802,0.5714,0.8,7,4,False,False
23,frame_0295.jpg,118.0,0.6171,0.705,0.4286,0.68,5,3,False,False
24,frame_0186.jpg,74.4,0.617,0.618,1.0,0.04,8,7,False,False
25,frame_0070.jpg,28.0,0.6129,0.5686,0.4286,1.0,6,3,False,False
26,frame_0301.jpg,120.4,0.6121,0.6196,0.7143,0.44,6,5,False,False
27,frame_0231.jpg,92.4,0.6098,0.6413,0.8571,0.16,7,6,False,False
28,frame_0290.jpg,116.0,0.6097,0.6423,0.4286,0.8,7,3,False,False
29,frame_0132.jpg,52.8,0.6015,0.4602,0.5714,1.0,5,4,False,False
30,frame_0008.jpg,3.2,0.5938,0.7876,0.0,1.0,3,0,False,False
31,frame_0318.jpg,127.2,0.5933,0.662,0.7143,0.24,7,5,False,False
32,frame_0286.jpg,114.4,0.5854,0.6577,0.4286,0.64,5,3,False,False
33,frame_0374.jpg,149.6,0.5847,0.6608,0.7143,0.2,8,5,False,False
34,frame_0071.jpg,28.4,0.5831,0.5948,0.2857,1.0,6,2,False,False
35,frame_0021.jpg,8.4,0.5829,0.5086,0.4286,1.0,5,3,False,False
36,frame_0005.jpg,2.0,0.5828,0.5941,0.2857,1.0,5,2,False,False
37,frame_0274.jpg,109.6,0.5813,0.6701,0.7143,0.16,6,5,False,False
38,frame_0287.jpg,114.8,0.5772,0.6252,0.4286,0.68,6,3,False,False
39,frame_0002.jpg,0.8,0.5768,0.4108,0.5714,1.0,6,4,False,False
40,frame_0029.jpg,11.6,0.5768,0.4965,0.4286,1.0,5,3,False,False
41,frame_0011.jpg,4.4,0.5756,0.6655,0.1429,1.0,3,1,False,False
42,frame_0075.jpg,30.0,0.5751,0.5948,0.2857,0.96,6,2,False,False
43,frame_0106.jpg,42.4,0.5746,0.7047,0.7143,0.04,7,5,False,False
44,frame_0294.jpg,117.6,0.5733,0.5157,0.5714,0.72,5,4,False,False
45,frame_0319.jpg,127.6,0.5713,0.6878,0.5714,0.28,7,4,False,False
46,frame_0024.jpg,9.6,0.5689,0.652,0.1429,1.0,1,1,False,False
47,frame_0279.jpg,111.6,0.5686,0.5647,0.7143,0.36,6,5,False,False
48,frame_0128.jpg,51.2,0.5669,0.5407,0.4286,0.84,6,3,False,False
49,frame_0130.jpg,52.0,0.5665,0.5935,0.2857,0.92,4,2,False,False
50,frame_0278.jpg,111.2,0.5659,0.5752,0.7143,0.32,8,5,False,False
51,frame_0007.jpg,2.8,0.5646,0.5577,0.2857,1.0,4,2,False,False
52,frame_0327.jpg,130.8,0.5633,0.6821,0.7143,0.04,9,5,False,False
53,frame_0377.jpg,150.8,0.5631,0.7354,0.5714,0.12,8,4,False,False
54,frame_0302.jpg,120.8,0.5622,0.7072,0.4286,0.4,6,3,False,False
55,frame_0031.jpg,12.4,0.5607,0.4643,0.4286,1.0,5,3,False,False
56,frame_0386.jpg,154.4,0.5607,0.7683,0.4286,0.24,7,3,False,False
57,frame_0176.jpg,70.4,0.5601,0.6814,0.5714,0.24,8,4,False,False
58,frame_0028.jpg,11.2,0.5595,0.5475,0.2857,1.0,4,2,False,False
59,frame_0114.jpg,45.6,0.5576,0.5746,0.7143,0.28,7,5,False,False
60,frame_0115.jpg,46.0,0.5566,0.6424,0.5714,0.32,8,4,False,False
61,frame_0129.jpg,51.6,0.5552,0.5869,0.2857,0.88,5,2,False,False
62,frame_0017.jpg,6.8,0.5536,0.45,0.4286,1.0,6,3,False,False
63,frame_0375.jpg,150.0,0.5533,0.5981,0.7143,0.2,8,5,False,False
64,frame_0072.jpg,28.8,0.5497,0.6137,0.1429,1.0,8,1,False,False
65,frame_0397.jpg,158.8,0.5496,0.762,0.4286,0.2,6,3,False,False
66,frame_0012.jpg,4.8,0.5492,0.527,0.2857,1.0,3,2,False,False
67,frame_0170.jpg,68.0,0.5491,0.7348,0.2857,0.48,7,2,False,False
68,frame_0306.jpg,122.4,0.5458,0.6527,0.5714,0.24,7,4,False,False
69,frame_0297.jpg,118.8,0.545,0.5929,0.4286,0.6,4,3,False,False
70,frame_0067.jpg,26.8,0.5448,0.5182,0.2857,1.0,6,2,False,False
71,frame_0078.jpg,31.2,0.5424,0.4916,0.4286,0.84,6,3,False,False
72,frame_0210.jpg,84.0,0.5423,0.8127,0.0,0.68,2,0,False,False
73,frame_0068.jpg,27.2,0.542,0.4269,0.4286,1.0,5,3,False,False
74,frame_0332.jpg,132.8,0.538,0.7172,0.5714,0.04,5,4,False,False
75,frame_0016.jpg,6.4,0.5344,0.4116,0.4286,1.0,5,3,False,False
76,frame_0388.jpg,155.2,0.5331,0.5737,0.7143,0.16,10,5,False,False
77,frame_0209.jpg,83.6,0.5327,0.606,0.2857,0.72,3,2,False,False
78,frame_0116.jpg,46.4,0.5316,0.7478,0.2857,0.36,6,2,False,False
79,frame_0174.jpg,69.6,0.5309,0.6767,0.4286,0.32,4,3,False,False
80,frame_0321.jpg,128.4,0.5306,0.6384,0.5714,0.2,6,4,False,False
81,frame_0277.jpg,110.8,0.53,0.6908,0.4286,0.28,8,3,False,False
82,frame_0015.jpg,6.0,0.5287,0.4859,0.2857,1.0,4,2,False,False
83,frame_0207.jpg,82.8,0.527,0.5625,0.2857,0.8,2,2,False,False
84,frame_0014.jpg,5.6,0.5253,0.3934,0.4286,1.0,5,3,False,False
85,frame_0282.jpg,112.8,0.5247,0.5145,0.5714,0.48,7,4,False,False
86,frame_0123.jpg,49.2,0.5239,0.7061,0.1429,0.64,5,1,False,False
87,frame_0288.jpg,115.2,0.5219,0.5844,0.2857,0.72,5,2,False,False
88,frame_0087.jpg,34.8,0.5217,0.5943,0.4286,0.48,3,3,False,False
89,frame_0199.jpg,79.6,0.5205,0.7632,0.1429,0.48,1,1,False,False
90,frame_0300.jpg,120.0,0.5191,0.5033,0.5714,0.48,8,4,False,False
91,frame_0389.jpg,155.6,0.5188,0.7324,0.4286,0.12,6,3,False,False
92,frame_0177.jpg,70.8,0.5186,0.6143,0.5714,0.2,5,4,False,False
93,frame_0272.jpg,108.8,0.5177,0.7463,0.4286,0.08,3,3,False,False
94,frame_0131.jpg,52.4,0.515,0.3888,0.4286,0.96,6,3,False,False
95,frame_0376.jpg,150.4,0.5144,0.7076,0.4286,0.16,6,3,False,False
96,frame_0020.jpg,8.0,0.5137,0.5417,0.1429,1.0,3,1,False,False
97,frame_0394.jpg,157.6,0.5092,0.7293,0.4286,0.08,3,3,False,False
98,frame_0333.jpg,133.2,0.5076,0.6403,0.5714,0.08,6,4,False,False
99,frame_0127.jpg,50.8,0.5046,0.5177,0.2857,0.8,7,2,False,False
100,frame_0188.jpg,75.2,0.5031,0.5616,0.7143,0.04,8,5,False,False
101,frame_0133.jpg,53.2,0.5027,0.3482,0.4286,1.0,6,3,False,False
102,frame_0080.jpg,32.0,0.5002,0.4392,0.4286,0.76,7,3,False,False
103,frame_0211.jpg,84.4,0.5002,0.4873,0.4286,0.64,3,3,False,False
104,frame_0168.jpg,67.2,0.5,0.6045,0.2857,0.56,7,2,False,False
105,frame_0317.jpg,126.8,0.4973,0.6575,0.4286,0.2,5,3,False,False
106,frame_0173.jpg,69.2,0.4969,0.5927,0.4286,0.36,6,3,False,False
